Plasmid	IS Name	Start	End	Identity	E-value
pVA833-176	Tn5403(Tn3)	78956	82619	99%	0
pVA833-176	IS3000(Tn3)	82620	84499	99%	0
pVA833-176	IS15DIV(IS6)	86368	87187	99%	0
pVA833-176	IS6100(IS6)	89880	90759	100%	0
pVA833-176	ISKpn28(IS481)	143086	144181	100%	0
pVA833-176	ISPlge3(IS3)	149005	149666	92%	0
pVA833-176	IS1A(IS1)	169451	170216	99%	0
pVA833-176	ISSen4(IS3)	171028	172166	98%	0
pVA833-7	IS1133(IS3)	3658	3725	100%	1.00E-30
pVA833-92	ISCfr1(IS1182)	3576	5192	100%	0
pVA833-92	IS26(IS6)	7215	8034	100%	0
pVA833-92	TnAs3(Tn3)	10310	12479	96%	0
pVA833-92	ISEc28(IS5)	14634	15530	99%	0
pVA833-92	IS5D(IS5)	16914	17002	97%	4.00E-33
pVA833-92	ISEc29(IS4)	17183	18507	100%	0
pVA833-92	IS15DIV(IS6)	23009	23828	99%	0
pVA833-92	ISKpn27(IS481)	25742	26821	100%	0
pVA833-92	Tn2(Tn3)	27844	30498	100%	0
pVA833-92	ISEcp1(IS1380)	38354	40009	100%	0
pVA833-92	IS1396(ISL3)	43458	43551	98%	3.00E-40
